Time_s	Heading_deg	Pitch_rad	Roll_rad	Yaw_rad	Lat	Long	Alt_m_AGL
1535745481.21	58.0	-0.0338414087892	-0.00739296991378	1.02724277973	34.9090898	-111.4387443	-2.12
1535745481.31	58.0	-0.0338089838624	-0.00740002235398	1.0273706913	34.9090898	-111.4387442	-2.12
1535745481.4	58.0	-0.0337707288563	-0.0074229426682	1.02754533291	34.9090898	-111.4387442	-2.11
1535745481.5	58.0	-0.0337083227932	-0.00744607485831	1.02769601345	34.9090898	-111.4387442	-2.11
1535745481.61	58.0	-0.0337079651654	-0.0074553526938	1.02782261372	34.9090897	-111.4387443	-2.1
1535745481.71	58.0	-0.0336502343416	-0.00744503643364	1.027977705	34.9090897	-111.4387443	-2.09
1535745481.81	58.0	-0.0335949771106	-0.00742546655238	1.0281368494	34.9090897	-111.4387442	-2.09
1535745481.9	58.0	-0.0335637256503	-0.00741557218134	1.02827870846	34.9090897	-111.4387442	-2.09
1535745482.0	58.0	-0.0335338041186	-0.00738443573937	1.02835977077	34.9090896	-111.4387442	-2.09
1535745482.1	58.0	-0.0334888584912	-0.0073961308226	1.0285128355	34.9090896	-111.4387442	-2.09
1535745482.2	58.0	-0.0334213189781	-0.00739405397326	1.02862823009	34.9090896	-111.4387443	-2.08
1535745482.31	58.0	-0.0334263034165	-0.0073982514441	1.0287553072	34.9090895	-111.4387443	-2.08
1535745482.4	58.0	-0.0334494151175	-0.0073781684041	1.02887797356	34.9090895	-111.4387443	-2.08
1535745482.5	58.0	-0.0334780290723	-0.00733968475834	1.02899646759	34.9090895	-111.4387442	-2.07
1535745482.61	58.0	-0.033477768302	-0.00729480525479	1.02911269665	34.9090894	-111.4387442	-2.06
1535745482.7	58.0	-0.0334901772439	-0.00727615272626	1.02922773361	34.9090894	-111.4387442	-2.05
1535745482.8	58.0	-0.033485610038	-0.00722887413576	1.02933144569	34.9090894	-111.4387442	-2.05
1535745482.9	58.0	-0.0334425270557	-0.007207818795	1.02942848206	34.9090893	-111.4387442	-2.04
1535745483.01	58.0	-0.0334227643907	-0.00719510344788	1.02956020832	34.9090893	-111.4387442	-2.03
1535745483.1	58.0	-0.0334125906229	-0.00723819434643	1.02968406677	34.9090893	-111.4387442	-2.03
1535745483.21	59.0	-0.0333925820887	-0.00723506277427	1.02982461452	34.9090892	-111.4387442	-2.02
1535745483.3	59.0	-0.0333657599986	-0.00720367860049	1.02994036674	34.9090892	-111.4387442	-2.02
1535745483.4	59.0	-0.0333209373057	-0.00718452315778	1.03007185459	34.9090892	-111.4387442	-2.01
1535745483.51	59.0	-0.0332835838199	-0.00715408427641	1.03014993668	34.909089	-111.4387442	-2.01
